id,file,date,algorithm,initialization,centroids (k),fuzzy weight (m),stopping_criterion,init_time,algorithm_time,iteration
TEST01,data/affitti15.csv,2020/06/13 01:07:47,fuzzy-cmeans,random,3,2,biggest-diff,0.08762598037719727,78.38442945480347,31
TEST01,data/affitti15.csv,2020/06/13 01:08:42,kmeans,random,4,-,biggest-diff,0.09549069404602051,54.89810371398926,18
TEST01,data/affitti15.csv,2020/06/13 01:10:58,fuzzy-cmeans,random,4,1.5,biggest-diff,0.09549069404602051,135.14110279083252,50*
TEST01,data/affitti15.csv,2020/06/13 01:11:36,fuzzy-cmeans,random,4,3,biggest-diff,0.09549069404602051,38.27655577659607,14
TEST01,data/affitti15.csv,2020/06/13 01:12:41,fuzzy-cmeans,random,4,2,biggest-diff,0.09549069404602051,64.99669027328491,24
TEST01,data/affitti15.csv,2020/06/13 01:15:14,kmeans,random,5,-,biggest-diff,0.07344198226928711,153.4997272491455,50*
TEST01,data/affitti15.csv,2020/06/13 01:17:38,fuzzy-cmeans,random,5,1.5,biggest-diff,0.07344198226928711,143.50267505645752,50*
TEST01,data/affitti15.csv,2020/06/13 01:18:18,fuzzy-cmeans,random,5,3,biggest-diff,0.07344198226928711,40.20330286026001,14
TEST01,data/affitti15.csv,2020/06/13 01:19:38,fuzzy-cmeans,random,5,2,biggest-diff,0.07344198226928711,80.20979738235474,28
TEST01,data/affitti30.csv,2020/06/13 01:21:00,kmeans,random,3,-,biggest-diff,0.21681809425354004,81.63294720649719,25
TEST01,data/affitti30.csv,2020/06/13 01:22:17,fuzzy-cmeans,random,3,1.5,biggest-diff,0.21681809425354004,76.47177386283875,22
TEST01,data/affitti30.csv,2020/06/13 01:23:02,fuzzy-cmeans,random,3,3,biggest-diff,0.21681809425354004,45.31331539154053,13
TEST01,data/affitti30.csv,2020/06/13 01:24:22,fuzzy-cmeans,random,3,2,biggest-diff,0.21681809425354004,80.03811407089233,23
TEST01,data/affitti30.csv,2020/06/13 01:27:08,kmeans,random,4,-,biggest-diff,0.14966392517089844,166.07240223884583,50*
TEST01,data/affitti30.csv,2020/06/13 01:29:12,fuzzy-cmeans,random,4,1.5,biggest-diff,0.14966392517089844,123.61225843429565,32
TEST01,data/affitti30.csv,2020/06/13 01:30:06,fuzzy-cmeans,random,4,3,biggest-diff,0.14966392517089844,54.54717421531677,14
TEST01,data/affitti30.csv,2020/06/13 01:31:44,fuzzy-cmeans,random,4,2,biggest-diff,0.14966392517089844,97.3956618309021,25
TEST01,data/affitti30.csv,2020/06/13 01:34:33,kmeans,random,5,-,biggest-diff,0.21616744995117188,169.21876072883606,50*
TEST01,data/affitti30.csv,2020/06/13 01:38:07,fuzzy-cmeans,random,5,1.5,biggest-diff,0.21616744995117188,213.26856350898743,50*
